Heart rate variability (ms),Sleep Stage,Group Label,Stage,Group Type
58.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Normal,Deep,Normal
38.0,Deep Group,Above Normal,Deep,Above Normal
71.0,Deep Group,Above Normal,Deep,Above Normal
56.0,Deep Group,Normal,Deep,Normal
63.0,Deep Group,Below Normal,Deep,Below Normal
57.0,Deep Group,Below Normal,Deep,Below Normal
63.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Above Normal,Deep,Above Normal
42.0,Deep Group,Above Normal,Deep,Above Normal
65.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Normal,Deep,Normal
68.0,Deep Group,Above Normal,Deep,Above Normal
68.0,Deep Group,Above Normal,Deep,Above Normal
68.0,Deep Group,Above Normal,Deep,Above Normal
37.0,Deep Group,Above Normal,Deep,Above Normal
37.0,Deep Group,Above Normal,Deep,Above Normal
41.0,Deep Group,Normal,Deep,Normal
59.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
34.0,Deep Group,Above Normal,Deep,Above Normal
65.0,Deep Group,Normal,Deep,Normal
65.0,Deep Group,Normal,Deep,Normal
67.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Above Normal,Deep,Above Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
29.0,Deep Group,Below Normal,Deep,Below Normal
63.0,Deep Group,Above Normal,Deep,Above Normal
42.0,Deep Group,Below Normal,Deep,Below Normal
49.0,Deep Group,Normal,Deep,Normal
49.0,Deep Group,Above Normal,Deep,Above Normal
30.0,Deep Group,Normal,Deep,Normal
30.0,Deep Group,Normal,Deep,Normal
42.0,Deep Group,Normal,Deep,Normal
75.0,Deep Group,Below Normal,Deep,Below Normal
62.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Normal,Deep,Normal
39.0,Deep Group,Below Normal,Deep,Below Normal
54.0,Deep Group,Above Normal,Deep,Above Normal
46.0,Deep Group,Normal,Deep,Normal
74.0,Deep Group,Below Normal,Deep,Below Normal
74.0,Deep Group,Below Normal,Deep,Below Normal
63.0,Deep Group,Normal,Deep,Normal
63.0,Deep Group,Normal,Deep,Normal
70.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Normal,Deep,Normal
28.0,Deep Group,Normal,Deep,Normal
54.0,Deep Group,Above Normal,Deep,Above Normal
54.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Below Normal,Deep,Below Normal
69.0,Deep Group,Below Normal,Deep,Below Normal
69.0,Deep Group,Below Normal,Deep,Below Normal
71.0,Deep Group,Normal,Deep,Normal
76.0,Deep Group,Normal,Deep,Normal
76.0,Deep Group,Normal,Deep,Normal
79.0,Deep Group,Below Normal,Deep,Below Normal
37.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Above Normal,Deep,Above Normal
60.0,Deep Group,Above Normal,Deep,Above Normal
60.0,Deep Group,Below Normal,Deep,Below Normal
68.0,Deep Group,Above Normal,Deep,Above Normal
68.0,Deep Group,Above Normal,Deep,Above Normal
66.0,Deep Group,Above Normal,Deep,Above Normal
73.0,Deep Group,Below Normal,Deep,Below Normal
26.0,Deep Group,Normal,Deep,Normal
66.0,Deep Group,Normal,Deep,Normal
66.0,Deep Group,Normal,Deep,Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
69.0,Deep Group,Below Normal,Deep,Below Normal
66.0,Deep Group,Below Normal,Deep,Below Normal
66.0,Deep Group,Below Normal,Deep,Below Normal
73.0,Deep Group,Normal,Deep,Normal
64.0,Deep Group,Normal,Deep,Normal
23.0,Deep Group,Below Normal,Deep,Below Normal
73.0,Deep Group,Below Normal,Deep,Below Normal
62.0,Deep Group,Above Normal,Deep,Above Normal
83.0,Deep Group,Normal,Deep,Normal
77.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Above Normal,Deep,Above Normal
70.0,Deep Group,Below Normal,Deep,Below Normal
15.0,Deep Group,Below Normal,Deep,Below Normal
55.0,Deep Group,Normal,Deep,Normal
42.0,Deep Group,Above Normal,Deep,Above Normal
68.0,Deep Group,Normal,Deep,Normal
55.0,Deep Group,Above Normal,Deep,Above Normal
53.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
65.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Normal,Deep,Normal
59.0,Deep Group,Normal,Deep,Normal
59.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Above Normal,Deep,Above Normal
64.0,Deep Group,Normal,Deep,Normal
57.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
45.0,Deep Group,Normal,Deep,Normal
72.0,Deep Group,Normal,Deep,Normal
72.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Above Normal,Deep,Above Normal
58.0,Deep Group,Normal,Deep,Normal
48.0,Deep Group,Normal,Deep,Normal
48.0,Deep Group,Normal,Deep,Normal
66.0,Deep Group,Below Normal,Deep,Below Normal
32.0,Deep Group,Below Normal,Deep,Below Normal
70.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Normal,Deep,Normal
65.0,Deep Group,Below Normal,Deep,Below Normal
65.0,Deep Group,Below Normal,Deep,Below Normal
68.0,Deep Group,Above Normal,Deep,Above Normal
63.0,Deep Group,Above Normal,Deep,Above Normal
63.0,Deep Group,Above Normal,Deep,Above Normal
60.0,Deep Group,Normal,Deep,Normal
60.0,Deep Group,Normal,Deep,Normal
40.0,Deep Group,Normal,Deep,Normal
73.0,Deep Group,Above Normal,Deep,Above Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
65.0,Deep Group,Above Normal,Deep,Above Normal
68.0,Deep Group,Normal,Deep,Normal
69.0,Deep Group,Normal,Deep,Normal
45.0,Deep Group,Above Normal,Deep,Above Normal
45.0,Deep Group,Above Normal,Deep,Above Normal
75.0,Deep Group,Normal,Deep,Normal
71.0,Deep Group,Above Normal,Deep,Above Normal
71.0,Deep Group,Above Normal,Deep,Above Normal
63.0,Deep Group,Below Normal,Deep,Below Normal
63.0,Deep Group,Below Normal,Deep,Below Normal
74.0,Deep Group,Below Normal,Deep,Below Normal
77.0,Deep Group,Normal,Deep,Normal
76.0,Deep Group,Above Normal,Deep,Above Normal
70.0,Deep Group,Below Normal,Deep,Below Normal
70.0,Deep Group,Below Normal,Deep,Below Normal
42.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
63.0,Deep Group,Normal,Deep,Normal
69.0,Deep Group,Below Normal,Deep,Below Normal
69.0,Deep Group,Below Normal,Deep,Below Normal
88.0,Deep Group,Below Normal,Deep,Below Normal
77.0,Deep Group,Normal,Deep,Normal
59.0,Deep Group,Below Normal,Deep,Below Normal
46.0,Deep Group,Below Normal,Deep,Below Normal
66.0,Deep Group,Normal,Deep,Normal
60.0,Deep Group,Below Normal,Deep,Below Normal
60.0,Deep Group,Below Normal,Deep,Below Normal
48.0,Deep Group,Below Normal,Deep,Below Normal
54.0,Deep Group,Below Normal,Deep,Below Normal
54.0,Deep Group,Below Normal,Deep,Below Normal
63.0,Deep Group,Above Normal,Deep,Above Normal
65.0,Deep Group,Normal,Deep,Normal
65.0,Deep Group,Normal,Deep,Normal
64.0,Deep Group,Normal,Deep,Normal
64.0,Deep Group,Normal,Deep,Normal
64.0,Deep Group,Normal,Deep,Normal
64.0,Deep Group,Normal,Deep,Normal
77.0,Deep Group,Normal,Deep,Normal
83.0,Deep Group,Below Normal,Deep,Below Normal
76.0,Deep Group,Above Normal,Deep,Above Normal
93.0,Deep Group,Normal,Deep,Normal
67.0,Deep Group,Normal,Deep,Normal
37.0,Deep Group,Normal,Deep,Normal
86.0,Deep Group,Above Normal,Deep,Above Normal
86.0,Deep Group,Above Normal,Deep,Above Normal
50.0,Deep Group,Above Normal,Deep,Above Normal
50.0,Deep Group,Above Normal,Deep,Above Normal
77.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
79.0,Deep Group,Below Normal,Deep,Below Normal
79.0,Deep Group,Below Normal,Deep,Below Normal
79.0,Deep Group,Below Normal,Deep,Below Normal
82.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
29.0,Deep Group,Normal,Deep,Normal
51.0,Deep Group,Normal,Deep,Normal
71.0,Deep Group,Normal,Deep,Normal
64.0,Deep Group,Below Normal,Deep,Below Normal
64.0,Deep Group,Below Normal,Deep,Below Normal
70.0,Deep Group,Below Normal,Deep,Below Normal
88.0,Deep Group,Normal,Deep,Normal
88.0,Deep Group,Normal,Deep,Normal
36.0,Deep Group,Below Normal,Deep,Below Normal
74.0,Deep Group,Normal,Deep,Normal
74.0,Deep Group,Normal,Deep,Normal
79.0,Deep Group,Below Normal,Deep,Below Normal
79.0,Deep Group,Below Normal,Deep,Below Normal
79.0,Deep Group,Below Normal,Deep,Below Normal
79.0,Deep Group,Below Normal,Deep,Below Normal
67.0,Deep Group,Above Normal,Deep,Above Normal
71.0,Deep Group,Below Normal,Deep,Below Normal
71.0,Deep Group,Below Normal,Deep,Below Normal
71.0,Deep Group,Below Normal,Deep,Below Normal
71.0,Deep Group,Below Normal,Deep,Below Normal
71.0,Deep Group,Below Normal,Deep,Below Normal
41.0,Deep Group,Normal,Deep,Normal
41.0,Deep Group,Normal,Deep,Normal
41.0,Deep Group,Normal,Deep,Normal
41.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
74.0,Deep Group,Below Normal,Deep,Below Normal
74.0,Deep Group,Below Normal,Deep,Below Normal
77.0,Deep Group,Below Normal,Deep,Below Normal
77.0,Deep Group,Below Normal,Deep,Below Normal
73.0,Deep Group,Above Normal,Deep,Above Normal
73.0,Deep Group,Above Normal,Deep,Above Normal
73.0,Deep Group,Above Normal,Deep,Above Normal
63.0,Deep Group,Above Normal,Deep,Above Normal
63.0,Deep Group,Above Normal,Deep,Above Normal
76.0,Deep Group,Below Normal,Deep,Below Normal
76.0,Deep Group,Below Normal,Deep,Below Normal
76.0,Deep Group,Below Normal,Deep,Below Normal
59.0,Deep Group,Below Normal,Deep,Below Normal
59.0,Deep Group,Below Normal,Deep,Below Normal
59.0,Deep Group,Below Normal,Deep,Below Normal
59.0,Deep Group,Below Normal,Deep,Below Normal
70.0,Deep Group,Normal,Deep,Normal
74.0,Deep Group,Below Normal,Deep,Below Normal
33.0,Deep Group,Normal,Deep,Normal
64.0,Deep Group,Above Normal,Deep,Above Normal
50.0,Deep Group,Below Normal,Deep,Below Normal
52.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Normal,Deep,Normal
64.0,Deep Group,Below Normal,Deep,Below Normal
63.0,Deep Group,Normal,Deep,Normal
63.0,Deep Group,Normal,Deep,Normal
42.0,Deep Group,Below Normal,Deep,Below Normal
82.0,Deep Group,Below Normal,Deep,Below Normal
88.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
58.0,Deep Group,Normal,Deep,Normal
49.0,Deep Group,Below Normal,Deep,Below Normal
46.0,Deep Group,Normal,Deep,Normal
46.0,Deep Group,Normal,Deep,Normal
65.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Normal,Deep,Normal
65.0,Deep Group,Below Normal,Deep,Below Normal
65.0,Deep Group,Below Normal,Deep,Below Normal
53.0,Deep Group,Below Normal,Deep,Below Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Normal,Deep,Normal
57.0,Deep Group,Normal,Deep,Normal
57.0,Deep Group,Normal,Deep,Normal
50.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
66.0,Deep Group,Normal,Deep,Normal
67.0,Deep Group,Above Normal,Deep,Above Normal
38.0,Deep Group,Below Normal,Deep,Below Normal
60.0,Deep Group,Normal,Deep,Normal
67.0,Deep Group,Below Normal,Deep,Below Normal
40.0,Deep Group,Normal,Deep,Normal
50.0,Deep Group,Below Normal,Deep,Below Normal
50.0,Deep Group,Below Normal,Deep,Below Normal
44.0,Deep Group,Below Normal,Deep,Below Normal
44.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
53.0,Deep Group,Below Normal,Deep,Below Normal
60.0,Deep Group,Below Normal,Deep,Below Normal
55.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Above Normal,Deep,Above Normal
54.0,Deep Group,Normal,Deep,Normal
54.0,Deep Group,Normal,Deep,Normal
71.0,Deep Group,Normal,Deep,Normal
71.0,Deep Group,Normal,Deep,Normal
71.0,Deep Group,Normal,Deep,Normal
69.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Normal,Deep,Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
72.0,Deep Group,Normal,Deep,Normal
74.0,Deep Group,Below Normal,Deep,Below Normal
74.0,Deep Group,Below Normal,Deep,Below Normal
78.0,Deep Group,Below Normal,Deep,Below Normal
72.0,Deep Group,Normal,Deep,Normal
83.0,Deep Group,Above Normal,Deep,Above Normal
83.0,Deep Group,Above Normal,Deep,Above Normal
83.0,Deep Group,Above Normal,Deep,Above Normal
71.0,Deep Group,Normal,Deep,Normal
88.0,Deep Group,Below Normal,Deep,Below Normal
66.0,Deep Group,Below Normal,Deep,Below Normal
66.0,Deep Group,Below Normal,Deep,Below Normal
67.0,Deep Group,Below Normal,Deep,Below Normal
82.0,Deep Group,Normal,Deep,Normal
82.0,Deep Group,Normal,Deep,Normal
82.0,Deep Group,Normal,Deep,Normal
70.0,Deep Group,Below Normal,Deep,Below Normal
70.0,Deep Group,Below Normal,Deep,Below Normal
73.0,Deep Group,Normal,Deep,Normal
60.0,Deep Group,Above Normal,Deep,Above Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
61.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Above Normal,Deep,Above Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
60.0,Deep Group,Above Normal,Deep,Above Normal
96.0,Deep Group,Normal,Deep,Normal
89.0,Deep Group,Normal,Deep,Normal
89.0,Deep Group,Normal,Deep,Normal
69.0,Deep Group,Below Normal,Deep,Below Normal
57.0,Deep Group,Normal,Deep,Normal
57.0,Deep Group,Normal,Deep,Normal
33.0,Deep Group,Normal,Deep,Normal
33.0,Deep Group,Normal,Deep,Normal
59.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Above Normal,Deep,Above Normal
66.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
44.0,Deep Group,Above Normal,Deep,Above Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
66.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Above Normal,Deep,Above Normal
61.0,Deep Group,Above Normal,Deep,Above Normal
74.0,Deep Group,Above Normal,Deep,Above Normal
74.0,Deep Group,Above Normal,Deep,Above Normal
49.0,Deep Group,Normal,Deep,Normal
63.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
67.0,Deep Group,Above Normal,Deep,Above Normal
67.0,Deep Group,Above Normal,Deep,Above Normal
67.0,Deep Group,Above Normal,Deep,Above Normal
67.0,Deep Group,Above Normal,Deep,Above Normal
63.0,Deep Group,Above Normal,Deep,Above Normal
63.0,Deep Group,Above Normal,Deep,Above Normal
64.0,Deep Group,Normal,Deep,Normal
63.0,Deep Group,Normal,Deep,Normal
63.0,Deep Group,Normal,Deep,Normal
63.0,Deep Group,Normal,Deep,Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
58.0,Deep Group,Normal,Deep,Normal
72.0,Deep Group,Normal,Deep,Normal
72.0,Deep Group,Below Normal,Deep,Below Normal
72.0,Deep Group,Below Normal,Deep,Below Normal
72.0,Deep Group,Below Normal,Deep,Below Normal
51.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Below Normal,Deep,Below Normal
60.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Normal,Deep,Normal
62.0,Deep Group,Normal,Deep,Normal
64.0,Deep Group,Below Normal,Deep,Below Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
45.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
55.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Below Normal,Deep,Below Normal
40.0,Deep Group,Normal,Deep,Normal
57.0,Deep Group,Above Normal,Deep,Above Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
55.0,Deep Group,Normal,Deep,Normal
53.0,Deep Group,Normal,Deep,Normal
53.0,Deep Group,Normal,Deep,Normal
63.0,Deep Group,Below Normal,Deep,Below Normal
24.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
60.0,Deep Group,Above Normal,Deep,Above Normal
60.0,Deep Group,Above Normal,Deep,Above Normal
60.0,Deep Group,Above Normal,Deep,Above Normal
56.0,Deep Group,Normal,Deep,Normal
47.0,Deep Group,Above Normal,Deep,Above Normal
44.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Below Normal,Deep,Below Normal
51.0,Deep Group,Below Normal,Deep,Below Normal
40.0,Deep Group,Above Normal,Deep,Above Normal
40.0,Deep Group,Above Normal,Deep,Above Normal
63.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Above Normal,Deep,Above Normal
44.0,Deep Group,Normal,Deep,Normal
44.0,Deep Group,Normal,Deep,Normal
44.0,Deep Group,Normal,Deep,Normal
32.0,Deep Group,Above Normal,Deep,Above Normal
54.0,Deep Group,Normal,Deep,Normal
48.0,Deep Group,Normal,Deep,Normal
48.0,Deep Group,Normal,Deep,Normal
50.0,Deep Group,Below Normal,Deep,Below Normal
50.0,Deep Group,Below Normal,Deep,Below Normal
50.0,Deep Group,Below Normal,Deep,Below Normal
67.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Normal,Deep,Normal
48.0,Deep Group,Normal,Deep,Normal
60.0,Deep Group,Below Normal,Deep,Below Normal
44.0,Deep Group,Above Normal,Deep,Above Normal
49.0,Deep Group,Below Normal,Deep,Below Normal
49.0,Deep Group,Below Normal,Deep,Below Normal
49.0,Deep Group,Below Normal,Deep,Below Normal
49.0,Deep Group,Below Normal,Deep,Below Normal
60.0,Deep Group,Above Normal,Deep,Above Normal
66.0,Deep Group,Below Normal,Deep,Below Normal
66.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Normal,Deep,Normal
49.0,Deep Group,Normal,Deep,Normal
49.0,Deep Group,Normal,Deep,Normal
42.0,Deep Group,Normal,Deep,Normal
55.0,Deep Group,Below Normal,Deep,Below Normal
55.0,Deep Group,Below Normal,Deep,Below Normal
51.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Above Normal,Deep,Above Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
62.0,Deep Group,Normal,Deep,Normal
62.0,Deep Group,Normal,Deep,Normal
62.0,Deep Group,Normal,Deep,Normal
72.0,Deep Group,Below Normal,Deep,Below Normal
72.0,Deep Group,Below Normal,Deep,Below Normal
34.0,Deep Group,Normal,Deep,Normal
63.0,Deep Group,Normal,Deep,Normal
51.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Above Normal,Deep,Above Normal
47.0,Deep Group,Below Normal,Deep,Below Normal
51.0,Deep Group,Normal,Deep,Normal
40.0,Deep Group,Above Normal,Deep,Above Normal
40.0,Deep Group,Above Normal,Deep,Above Normal
40.0,Deep Group,Above Normal,Deep,Above Normal
27.0,Deep Group,Below Normal,Deep,Below Normal
69.0,Deep Group,Below Normal,Deep,Below Normal
69.0,Deep Group,Below Normal,Deep,Below Normal
67.0,Deep Group,Below Normal,Deep,Below Normal
51.0,Deep Group,Normal,Deep,Normal
51.0,Deep Group,Normal,Deep,Normal
51.0,Deep Group,Normal,Deep,Normal
51.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
67.0,Deep Group,Below Normal,Deep,Below Normal
67.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Above Normal,Deep,Above Normal
35.0,Deep Group,Below Normal,Deep,Below Normal
69.0,Deep Group,Normal,Deep,Normal
73.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
53.0,Deep Group,Below Normal,Deep,Below Normal
67.0,Deep Group,Above Normal,Deep,Above Normal
60.0,Deep Group,Above Normal,Deep,Above Normal
60.0,Deep Group,Above Normal,Deep,Above Normal
52.0,Deep Group,Below Normal,Deep,Below Normal
57.0,Deep Group,Below Normal,Deep,Below Normal
53.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Above Normal,Deep,Above Normal
66.0,Deep Group,Below Normal,Deep,Below Normal
55.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Normal,Deep,Normal
50.0,Deep Group,Above Normal,Deep,Above Normal
63.0,Deep Group,Above Normal,Deep,Above Normal
43.0,Deep Group,Normal,Deep,Normal
29.0,Deep Group,Normal,Deep,Normal
55.0,Deep Group,Above Normal,Deep,Above Normal
56.0,Deep Group,Normal,Deep,Normal
59.0,Deep Group,Below Normal,Deep,Below Normal
54.0,Deep Group,Above Normal,Deep,Above Normal
66.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Normal,Deep,Normal
63.0,Deep Group,Normal,Deep,Normal
49.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
29.0,Deep Group,Above Normal,Deep,Above Normal
61.0,Deep Group,Normal,Deep,Normal
50.0,Deep Group,Above Normal,Deep,Above Normal
52.0,Deep Group,Normal,Deep,Normal
57.0,Deep Group,Above Normal,Deep,Above Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
55.0,Deep Group,Normal,Deep,Normal
50.0,Deep Group,Normal,Deep,Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
25.0,Deep Group,Normal,Deep,Normal
66.0,Deep Group,Normal,Deep,Normal
48.0,Deep Group,Above Normal,Deep,Above Normal
42.0,Deep Group,Below Normal,Deep,Below Normal
67.0,Deep Group,Normal,Deep,Normal
43.0,Deep Group,Below Normal,Deep,Below Normal
58.0,Deep Group,Above Normal,Deep,Above Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
42.0,Deep Group,Normal,Deep,Normal
37.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Above Normal,Deep,Above Normal
43.0,Deep Group,Normal,Deep,Normal
43.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Above Normal,Deep,Above Normal
50.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Above Normal,Deep,Above Normal
69.0,Deep Group,Below Normal,Deep,Below Normal
69.0,Deep Group,Below Normal,Deep,Below Normal
61.0,Deep Group,Above Normal,Deep,Above Normal
60.0,Deep Group,Normal,Deep,Normal
65.0,Deep Group,Normal,Deep,Normal
62.0,Deep Group,Normal,Deep,Normal
60.0,Deep Group,Above Normal,Deep,Above Normal
48.0,Deep Group,Normal,Deep,Normal
39.0,Deep Group,Above Normal,Deep,Above Normal
45.0,Deep Group,Normal,Deep,Normal
45.0,Deep Group,Normal,Deep,Normal
49.0,Deep Group,Normal,Deep,Normal
46.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Normal,Deep,Normal
35.0,Deep Group,Above Normal,Deep,Above Normal
32.0,Deep Group,Below Normal,Deep,Below Normal
37.0,Deep Group,Normal,Deep,Normal
38.0,Deep Group,Below Normal,Deep,Below Normal
50.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Below Normal,Deep,Below Normal
44.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Below Normal,Deep,Below Normal
44.0,Deep Group,Below Normal,Deep,Below Normal
44.0,Deep Group,Below Normal,Deep,Below Normal
33.0,Deep Group,Normal,Deep,Normal
34.0,Deep Group,Below Normal,Deep,Below Normal
32.0,Deep Group,Below Normal,Deep,Below Normal
46.0,Deep Group,Above Normal,Deep,Above Normal
25.0,Deep Group,Below Normal,Deep,Below Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
42.0,Deep Group,Above Normal,Deep,Above Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
82.0,Deep Group,Above Normal,Deep,Above Normal
82.0,Deep Group,Above Normal,Deep,Above Normal
41.0,Deep Group,Below Normal,Deep,Below Normal
52.0,Deep Group,Below Normal,Deep,Below Normal
